second,fc
1,97
2,100
3,101
4,103
5,105
6,107
7,108
8,109
9,110
10,111
11,111
12,111
13,112
14,113
15,114
16,115
17,115
18,117
19,118
20,118
21,119
22,120
23,121
24,122
25,123
26,125
27,126
28,128
29,129
30,130
31,131
32,132
33,132
34,132
35,132
36,132
37,132
38,132
39,132
40,132
41,132
42,132
43,132
44,132
45,133
46,133
47,133
48,133
49,134
50,134
51,135
52,135
53,135
54,136
55,136
56,137
57,137
58,138
59,138
60,137
61,138
62,138
63,137
64,137
65,137
66,138
67,138
68,138
69,139
70,138
71,139
72,138
73,139
74,138
75,139
76,138
77,138
78,139
79,138
80,139
81,138
82,138
83,138
84,138
85,138
86,138
87,139
88,139
89,140
90,140
91,140
92,141
93,141
94,142
95,142
96,142
97,143
98,142
99,142
100,142
101,141
102,141
103,141
104,140
105,140
106,140
107,139
108,139
109,139
110,139
111,139
112,139
113,139
114,139
115,139
116,139
117,139
118,139
119,139
120,139
121,139
122,139
123,139
124,139
125,139
126,139
127,139
128,138
129,138
130,138
131,137
132,136
133,135
134,135
135,135
136,135
137,135
138,134
139,134
140,133
141,132
142,131
143,132
144,130
145,129
146,129
147,128
148,128
149,129
150,130
151,130
152,130
153,129
154,128
155,128
156,128
157,128
158,129
159,129
160,130
161,129
162,129
163,129
164,129
165,128
166,128
167,128
168,129
169,129
170,130
171,130
172,131
173,132
174,133
175,133
176,134
177,136
178,137
179,138
180,138
181,139
182,139
183,139
184,139
185,139
186,139
187,138
188,138
189,137
190,136
191,136
192,136
193,137
194,137
195,137
196,138
197,138
198,138
199,139
200,139
201,139
202,139
203,139
204,139
205,139
206,139
207,139
208,139
209,139
210,140
211,140
212,140
213,140
214,140
215,140
216,141
217,141
218,141
219,141
220,141
221,142
222,142
223,142
224,142
225,142
226,142
227,141
228,141
229,141
230,140
231,140
232,140
233,139
234,139
235,140
236,139
237,140
238,140
239,140
240,140
241,140
242,140
243,140
244,140
245,141
246,141
247,141
248,141
249,141
250,141
251,141
252,141
253,141
254,142
255,142
256,142
257,142
258,142
259,143
260,142
261,142
262,143
263,143
264,143
265,143
266,143
267,142
268,142
269,142
