second,fc
1,84
2,85
3,87
4,90
5,93
6,96
7,99
8,100
9,103
10,106
11,108
12,110
13,113
14,116
15,118
16,119
17,120
18,121
19,121
20,122
21,123
22,123
23,124
24,124
25,125
26,126
27,127
28,128
29,129
30,130
31,130
32,131
33,131
34,132
35,133
36,133
37,134
38,135
39,136
40,136
41,137
42,137
43,137
44,136
45,136
46,136
47,136
48,136
49,137
50,137
51,138
52,138
53,139
54,139
55,140
56,141
57,142
58,142
59,142
60,144
61,145
62,145
63,146
64,146
65,147
66,146
67,146
68,145
69,145
70,145
71,145
72,147
73,147
74,148
75,149
76,149
77,150
78,150
79,151
80,152
81,152
82,153
83,153
84,153
85,153
86,153
87,153
88,153
89,152
90,153
91,153
92,153
93,153
94,153
95,154
96,154
97,154
98,155
99,155
100,155
101,155
102,155
103,155
104,154
105,154
106,153
107,153
108,153
109,151
110,150
111,149
112,149
113,149
114,150
115,150
116,150
117,151
118,151
119,152
120,153
121,154
122,155
123,156
124,157
125,158
126,158
127,159
128,159
129,159
130,159
131,158
132,158
133,158
134,158
135,158
136,158
137,157
138,158
139,158
140,159
141,159
142,161
143,161
144,162
145,162
146,162
147,162
148,162
149,162
150,161
151,160
152,158
153,158
154,158
155,159
156,159
157,159
158,158
159,159
160,160
161,162
162,163
163,164
164,165
165,165
166,166
167,166
168,166
169,166
170,165
171,164
172,164
173,163
174,163
175,163
176,163
177,163
178,163
179,163
180,163
181,163
182,164
183,164
184,164
185,165
186,165
187,165
188,165
189,165
190,165
191,164
192,164
193,163
194,163
195,163
196,163
197,163
198,163
199,162
200,162
201,162
202,162
203,162
204,163
205,163
206,164
207,164
208,164
209,164
210,164
211,164
212,163
213,163
214,162
215,162
216,163
217,163
218,163
219,163
220,163
221,164
222,165
223,165
224,166
225,167
226,168
227,168
228,168
229,168
230,169
231,169
232,168
233,168
234,167
235,167
236,168
237,168
238,168
239,168
240,168
241,168
242,168
243,167
244,167
245,166
246,166
247,165
248,164
249,163
250,162
251,161
252,160
253,159
254,159
255,160
256,161
257,161
258,161
259,162
260,162
261,162
262,163
263,163
264,163
265,163
266,164
267,164
268,165
269,165
270,165
271,165
272,165
273,165
274,165
275,165
276,166
277,166
278,167
279,167
280,167
281,167
282,169
283,170
284,170
285,171
286,171
287,172
288,172
289,172
290,172
291,172
292,172
293,172
294,171
295,171
296,171
297,170
298,170
299,170
300,170
301,169
302,169
303,169
304,169
305,170
306,170
307,170
308,170
309,170
310,170
311,170
312,170
313,169
314,169
315,168
316,168
317,169
318,169
319,169
320,170
321,170
322,171
323,171
324,172
325,172
326,173
327,173
328,174
329,174
330,175
331,174
332,174
333,174
334,174
335,173
336,173
337,174
338,173
339,173
340,173
341,173
342,173
343,173
344,173
345,173
346,173
347,174
348,174
349,174
350,173
351,173
352,173
353,172
354,171
355,171
356,171
357,171
358,172
359,172
360,172
361,172
362,173
363,174
364,174
365,175
366,175
367,176
368,176
369,176
370,176
371,176
372,176
373,176
374,176
375,176
376,176
377,175
378,175
379,175
380,175
381,175
382,175
383,175
384,175
385,175
386,175
387,176
388,176
389,176
390,175
391,175
392,175
393,174
394,173
395,172
396,172
397,172
398,172
399,172
400,173
401,173
402,174
403,174
404,175
405,176
406,176
407,176
408,176
409,177
410,177
411,177
412,177
413,177
414,177
415,177
416,177
417,176
418,176
419,176
420,175
421,175
422,175
423,175
424,176
425,176
426,176
427,177
428,177
429,177
430,177
431,177
432,177
433,177
434,177
435,177
436,177
437,178
438,178
439,178
440,179
441,179
442,179
443,180
444,180
445,180
446,180
447,180
448,180
449,180
450,180
451,181
452,181
453,181
454,180
455,181
456,181
457,181
458,181
459,181
460,181
461,181
462,181
463,181
464,181
465,181
466,182
467,182
468,182
469,182
470,182
471,182
472,181
473,181
474,180
475,180
476,179
477,179
478,179
479,179
480,179
481,179
482,179
483,179
484,180
485,180
486,181
487,181
488,181
489,182
490,182
491,182
492,182
493,182
494,182
495,182
496,182
497,181
498,181
499,181
500,181
501,181
502,181
503,181
504,182
505,182
506,182
507,182
508,182
509,181
510,181
511,181
512,181
513,181
514,181
515,181
516,181
517,180
518,181
519,181
520,181
521,181
522,181
523,182
524,182
525,183
526,183
527,183
528,183
529,183
530,183
531,183
532,182
533,182
534,182
535,182
536,182
537,181
538,181
539,182
540,182
541,183
542,183
543,183
544,184
545,184
546,184
547,184
548,184
549,184
550,184
551,184
552,183
553,183
554,183
555,183
556,183
557,182
558,183
559,183
560,183
561,183
