second,fc
1,81
2,84
3,87
4,89
5,92
6,95
7,97
8,98
9,100
10,102
11,103
12,105
13,105
14,107
15,108
16,109
17,109
18,110
19,111
20,111
21,112
22,112
23,112
24,113
25,113
26,114
27,114
28,115
29,115
30,115
31,115
32,114
33,114
34,113
35,113
36,112
37,113
38,113
39,113
40,113
41,113
42,113
43,113
44,113
45,113
46,114
47,115
48,116
49,117
50,118
51,119
52,120
53,121
54,121
55,122
56,122
57,122
58,122
59,121
60,121
61,121
62,120
63,120
64,120
65,120
66,120
67,120
68,121
69,121
70,121
71,122
72,122
73,122
74,122
75,123
76,123
77,124
78,125
79,125
80,125
81,124
82,124
83,123
84,123
85,123
86,124
87,123
88,123
89,123
90,123
91,123
92,124
93,124
94,124
95,125
96,125
97,125
98,126
99,126
100,126
101,127
102,127
103,127
104,127
105,127
106,126
107,126
108,126
109,126
110,126
111,126
112,125
113,125
114,125
115,125
116,125
117,124
118,125
119,124
120,124
121,124
122,124
123,124
124,124
125,123
126,123
127,122
128,122
129,121
130,121
131,121
132,121
133,120
134,120
135,119
136,118
137,118
138,117
139,117
140,117
141,117
142,116
143,115
144,115
145,114
146,114
147,114
148,113
149,113
150,113
151,113
152,113
153,113
154,113
155,113
156,114
157,114
158,116
159,117
160,118
161,119
162,120
163,120
164,121
165,122
166,123
167,124
168,125
169,125
170,126
171,127
172,127
173,128
174,128
175,129
176,129
177,129
178,129
179,129
180,129
181,129
182,129
183,129
184,129
185,130
186,130
187,129
188,129
189,128
190,128
191,128
192,129
193,129
194,129
195,129
196,129
197,129
198,129
199,129
200,129
201,129
202,129
203,129
204,129
205,130
206,130
207,130
208,130
209,130
210,130
211,130
212,131
213,131
214,132
215,132
216,133
217,134
218,135
219,135
220,135
221,136
222,137
223,136
224,137
225,137
226,137
227,136
228,136
229,136
230,137
231,137
232,138
233,138
234,139
235,139
236,140
237,141
238,142
239,142
240,143
241,143
242,144
243,144
244,144
245,144
246,144
247,144
248,144
249,144
250,144
251,144
252,144
253,144
254,143
255,143
256,143
257,143
258,143
259,143
260,143
261,143
262,142
263,142
264,142
265,142
266,142
267,142
268,142
269,142
270,142
271,141
272,141
273,141
274,141
275,141
276,141
277,141
278,141
279,141
280,140
281,140
282,139
283,137
284,136
285,134
286,133
287,132
288,131
289,130
290,130
291,130
292,131
293,132
294,132
295,132
296,131
297,129
298,127
299,126
300,125
301,126
302,127
303,127
304,125
305,124
306,123
307,123
308,123
309,123
310,123
311,123
312,124
313,125
314,125
315,125
316,125
317,125
318,125
319,125
320,126
321,127
322,128
323,129
324,130
325,132
326,133
327,134
328,135
329,135
330,135
331,135
332,135
333,135
334,135
335,135
336,135
337,134
338,135
339,135
340,135
341,135
342,136
343,136
344,136
345,137
346,138
347,138
348,139
349,140
350,140
351,140
352,140
353,140
354,140
355,141
356,141
357,141
358,141
359,142
360,143
361,143
362,144
363,144
364,145
365,146
366,147
367,147
368,148
369,148
370,148
371,149
372,148
373,148
374,148
375,147
376,146
377,145
378,144
379,143
380,142
381,142
382,142
383,141
384,141
385,141
386,141
387,141
388,141
389,141
390,141
391,140
392,141
393,141
394,141
395,142
396,142
397,142
398,142
399,142
400,142
401,142
402,142
403,143
404,143
405,143
406,143
407,143
408,143
409,143
410,142
411,141
412,141
413,140
414,139
415,139
416,138
417,136
418,136
419,135
420,135
421,135
422,135
423,134
424,134
425,133
426,133
427,133
428,133
429,134
430,134
431,135
432,136
433,136
434,136
435,136
436,135
437,134
438,133
439,133
440,133
441,133
442,133
443,133
444,131
445,130
446,130
447,129
448,128
449,127
450,127
451,126
452,125
453,125
454,125
455,126
456,126
457,127
458,127
459,128
460,129
461,129
462,130
463,131
464,132
465,132
466,133
467,133
468,133
469,133
470,133
471,133
472,134
473,134
474,135
475,136
476,137
477,138
478,139
479,140
480,141
481,141
482,141
483,142
484,142
485,142
486,143
487,143
488,143
489,143
490,143
491,144
492,144
493,145
494,145
495,146
496,146
497,146
498,147
499,147
500,148
501,148
502,149
503,149
504,150
505,151
506,152
507,153
508,153
509,154
510,154
511,155
512,155
513,155
514,156
515,156
516,156
517,156
518,156
519,156
520,156
521,154
522,154
523,153
524,153
525,152
526,152
527,152
528,152
529,152
530,152
531,152
532,152
533,152
534,152
535,152
536,152
537,152
538,153
539,153
540,154
541,153
542,153
543,153
544,153
545,153
546,153
547,153
548,153
549,153
550,153
551,153
552,153
553,153
554,154
555,154
556,153
