second,fc
1,77
2,78
3,78
4,80
5,82
6,85
7,85
8,88
9,88
10,89
11,90
12,91
13,92
14,93
15,94
16,95
17,95
18,97
19,99
20,99
21,100
22,101
23,101
24,102
25,102
26,102
27,103
28,103
29,104
30,104
31,105
32,105
33,106
34,106
35,107
36,108
37,108
38,109
39,110
40,110
41,111
42,111
43,112
44,112
45,112
46,112
47,113
48,113
49,113
50,113
51,113
52,114
53,114
54,114
55,114
56,114
57,114
58,114
59,114
60,114
61,114
62,114
63,114
64,114
65,114
66,114
67,114
68,114
69,114
70,114
71,114
72,114
73,114
74,114
75,114
76,114
77,115
78,115
79,115
80,116
81,116
82,116
83,116
84,118
85,118
86,119
87,119
88,119
89,119
90,119
91,120
92,120
93,121
94,121
95,122
96,122
97,122
98,122
99,121
100,121
101,120
102,119
103,119
104,118
105,118
106,117
107,116
108,115
109,114
110,113
111,113
112,112
113,112
114,111
115,110
116,110
117,110
118,111
119,112
120,113
121,114
122,115
123,116
124,116
125,116
126,118
127,118
128,118
129,118
130,118
131,118
132,118
133,118
134,119
135,118
136,118
137,118
138,118
139,118
140,117
141,116
142,114
143,113
144,113
145,111
146,109
147,109
148,107
149,105
150,102
151,99
152,99
153,99
154,102
155,104
156,105
157,105
158,106
159,107
160,109
161,112
162,112
163,113
164,114
165,115
166,116
167,117
168,118
169,119
170,119
171,119
172,120
173,120
174,121
175,121
176,121
177,123
178,124
179,124
180,124
181,125
182,127
183,128
184,129
185,131
186,131
187,131
188,130
189,129
190,128
191,126
192,125
193,125
194,125
195,124
196,124
197,123
198,123
199,122
200,122
201,124
202,125
203,126
204,126
205,126
206,126
207,128
208,129
209,130
210,130
211,131
212,131
213,131
214,131
215,131
216,131
217,132
218,132
219,132
220,132
221,132
222,130
223,130
224,131
225,131
226,131
227,132
228,132
229,133
230,133
231,135
232,135
233,135
234,137
235,137
236,137
237,137
238,137
239,137
240,137
241,137
242,136
243,135
244,135
245,135
246,135
247,135
248,135
249,135
250,133
251,133
252,133
253,133
254,134
255,134
256,134
257,134
258,136
259,135
260,135
261,135
262,134
263,132
264,131
265,130
266,129
267,128
268,127
269,127
270,127
271,126
272,126
273,126
274,125
275,124
276,123
277,123
278,122
279,121
280,118
281,116
282,115
283,115
284,116
285,116
286,114
287,113
288,113
289,113
290,113
291,111
292,109
293,107
294,105
295,102
296,99
297,98
298,98
299,100
300,103
301,106
302,109
303,111
304,113
305,115
306,115
307,116
308,116
309,116
310,117
311,117
312,118
313,119
314,120
315,121
316,121
317,123
318,123
319,124
320,124
321,124
322,123
323,123
324,123
325,122
326,122
327,123
328,124
329,125
330,125
331,127
332,128
333,129
334,129
335,130
336,132
337,134
338,136
339,138
340,139
341,139
342,141
343,141
344,142
345,142
346,142
347,143
348,143
349,143
350,143
351,143
352,143
353,143
354,143
355,143
356,143
357,144
358,144
359,144
360,144
361,144
362,144
363,144
364,144
365,143
366,143
367,143
368,143
369,143
370,142
371,141
372,141
373,140
374,139
375,139
376,139
377,138
378,138
379,138
380,137
381,137
382,136
383,136
384,136
385,136
386,135
387,135
388,136
389,136
390,136
391,135
392,136
393,136
394,136
395,137
396,137
397,137
398,139
399,139
400,139
401,139
402,139
403,139
404,138
405,138
406,138
407,138
408,137
409,137
410,137
411,137
412,137
413,137
414,137
415,138
416,139
417,139
418,138
419,135
420,134
421,133
422,131
423,130
424,130
425,129
426,127
427,125
428,123
429,120
430,117
431,117
432,115
433,112
434,112
435,112
436,112
437,112
438,112
439,110
440,110
441,110
442,110
443,110
444,110
445,111
446,111
447,112
448,114
449,115
450,117
451,118
452,118
453,121
454,122
455,123
456,124
457,125
458,126
459,126
460,126
461,127
462,127
463,128
464,129
465,130
466,130
467,130
468,130
469,130
470,130
471,130
472,128
473,128
474,129
475,131
476,131
477,131
478,131
479,132
480,133
481,134
482,134
483,135
484,135
485,135
486,135
487,135
488,135
489,136
490,136
491,137
492,137
493,137
494,138
495,139
496,139
497,140
498,140
499,140
500,140
501,141
502,141
503,142
504,142
505,143
506,143
507,144
508,144
509,144
510,145
511,145
512,145
513,145
514,145
515,145
516,145
517,145
518,145
519,145
520,145
521,145
522,145
523,145
524,145
525,145
526,145
527,145
528,145
529,146
530,146
531,147
532,147
533,149
534,149
535,149
536,149
537,149
538,149
539,149
540,149
541,149
542,149
543,150
544,150
545,150
546,150
547,150
548,150
549,148
550,146
551,146
552,144
553,144
554,144
555,144
556,144
557,143
558,141
559,139
560,137
561,125
562,133
563,131
564,129
565,127
566,125
567,124
568,124
569,124
570,123
571,123
572,123
573,123
574,123
575,123
576,124
577,124
578,124
579,124
580,125
581,126
582,126
583,127
584,127
585,127
586,129
587,130
588,131
589,131
590,131
591,132
592,133
593,133
594,133
595,134
596,135
597,135
598,135
599,136
600,137
601,137
602,139
603,139
604,139
605,141
606,141
607,142
608,142
609,142
610,143
611,143
612,144
613,144
614,144
615,144
616,144
617,146
618,146
619,146
620,146
621,147
622,148
623,148
624,149
625,149
626,150
627,151
628,151
629,152
630,152
631,153
632,153
633,154
634,154
635,154
636,154
637,153
638,153
639,153
640,152
641,152
642,152
643,152
644,151
645,151
646,151
647,151
648,151
649,151
650,152
651,152
652,152
653,152
654,152
655,153
656,153
657,153
658,153
659,153
660,153
661,153
662,153
663,153
664,152
665,152
666,151
667,151
668,151
669,151
670,151
671,151
672,151
673,151
674,151
675,150
676,150
677,150
678,149
679,148
680,148
681,147
682,147
683,145
684,145
685,145
686,142
687,141
688,141
689,140
690,140
691,140
692,140
693,137
694,135
695,133
696,132
697,130
698,130
699,129
700,128
701,128
702,128
703,128
704,128
705,128
706,129
707,131
708,132
709,133
710,133
711,135
712,136
713,136
714,138
715,138
716,138
717,139
718,139
719,139
720,138
721,137
722,137
723,137
724,137
725,137
726,137
727,138
728,139
729,139
730,140
731,141
732,141
733,142
734,142
735,143
736,144
737,145
738,145
739,146
740,147
741,148
742,149
743,151
744,151
745,152
746,152
747,154
748,155
749,155
750,156
751,156
752,157
753,157
754,157
755,157
756,157
757,157
758,158
759,158
760,157
761,158
762,158
763,158
764,159
765,159
766,159
767,159
768,159
769,160
770,160
771,160
772,160
773,161
774,161
775,161
776,161
777,162
778,162
779,162
780,163
781,163
782,163
783,162
784,162
785,161
786,161
787,161
788,160
789,160
790,160
791,160
792,160
793,158
794,158
795,157
