second,fc
1,115
2,115
3,116
4,117
5,118
6,118
7,119
8,119
9,119
10,120
11,121
12,122
13,122
14,123
15,123
16,123
17,124
18,124
19,125
20,125
21,125
22,126
23,127
24,127
25,127
26,128
27,128
28,129
29,129
30,129
31,130
32,130
33,131
34,131
35,131
36,132
37,132
38,133
39,133
40,133
41,134
42,134
43,135
44,135
45,135
46,136
47,136
48,137
49,137
50,137
51,138
52,138
53,138
54,138
55,139
56,139
57,139
58,140
59,140
60,140
61,140
62,141
63,141
64,141
65,142
66,142
67,142
68,142
69,143
70,143
71,143
72,143
73,144
74,144
75,144
76,144
77,144
78,145
79,145
80,145
81,145
82,145
83,145
84,145
85,145
86,145
87,145
88,145
89,146
90,146
91,146
92,146
93,146
94,146
95,146
96,147
97,147
98,148
99,149
100,150
101,150
102,150
103,150
104,149
105,149
106,148
107,148
108,149
109,149
110,150
111,150
112,151
113,152
114,152
115,152
116,152
117,151
118,151
119,151
120,151
121,151
122,152
123,152
124,152
125,152
126,151
127,150
128,149
129,148
130,148
131,148
132,148
133,148
134,149
135,149
136,150
137,151
138,151
139,152
140,152
141,152
142,152
143,153
144,153
145,154
146,154
147,154
148,154
149,154
150,154
151,154
152,154
153,154
154,154
155,154
156,154
157,154
158,153
159,153
160,152
161,151
162,151
163,150
164,150
165,150
166,150
167,151
168,151
169,151
170,152
171,152
172,152
173,152
174,153
175,153
176,153
177,153
178,153
179,153
180,153
181,154
182,154
183,154
184,154
185,154
186,154
187,154
188,154
189,154
190,154
191,154
192,155
193,155
194,154
195,154
196,154
197,153
198,153
199,153
200,153
201,153
202,153
203,154
204,155
205,155
206,156
207,157
208,157
209,157
210,158
211,158
212,158
213,159
214,159
215,159
216,159
217,160
218,160
219,160
220,159
221,159
222,158
223,157
224,157
225,157
226,157
227,157
228,157
229,157
230,157
231,157
232,157
233,157
234,157
235,157
236,157
237,158
238,158
239,158
240,159
241,159
242,159
243,159
244,159
245,159
246,159
247,159
248,159
249,159
250,160
251,160
252,160
253,160
254,160
255,160
256,160
257,160
258,161
259,161
260,161
261,162
262,162
263,162
264,163
265,163
266,163
267,163
268,164
269,164
270,164
271,164
272,164
273,164
274,164
275,164
276,164
277,163
278,163
279,163
280,162
281,162
282,163
283,163
284,163
285,163
286,163
287,163
288,163
289,164
290,164
291,164
292,164
293,164
294,164
295,164
296,164
297,164
298,164
299,164
300,164
301,164
302,164
303,164
304,164
305,164
306,164
307,164
308,163
309,162
310,162
311,161
312,161
313,161
314,161
315,161
316,161
317,161
318,161
319,162
320,162
321,162
322,163
323,163
324,163
325,163
326,164
327,164
328,164
329,165
330,165
331,165
332,166
333,166
334,166
335,166
336,166
337,166
338,166
339,167
340,166
341,166
342,166
343,166
344,166
345,166
346,167
347,167
348,167
349,167
350,167
351,167
352,167
353,167
354,167
355,167
356,167
357,167
358,167
359,167
360,167
361,167
362,167
363,167
364,167
365,167
366,167
367,167
368,167
369,167
370,167
371,167
372,167
373,167
374,167
375,167
376,167
377,167
378,167
379,167
380,167
381,167
382,167
383,167
384,167
385,167
386,167
387,167
388,168
389,168
390,168
391,168
392,168
393,168
394,169
395,169
396,169
397,169
398,169
399,169
400,169
401,169
402,169
403,169
404,169
405,169
406,169
407,169
408,169
409,169
410,169
411,169
412,169
413,169
414,169
415,169
416,169
417,169
418,169
419,169
420,170
421,170
422,170
423,170
424,171
425,171
426,171
427,171
428,172
429,172
430,172
431,172
432,173
433,173
434,173
435,173
436,173
437,173
438,173
439,173
440,173
441,173
442,173
443,173
444,173
445,173
446,174
447,174
448,175
449,175
450,175
451,175
452,175
453,175
454,175
455,175
456,175
457,175
458,175
459,175
460,174
461,174
462,174
463,174
464,174
465,174
466,174
467,174
468,174
469,174
470,174
471,175
472,175
473,175
474,175
475,175
476,175
477,175
478,175
479,176
480,176
481,176
482,176
483,176
484,176
485,177
486,177
487,177
488,177
489,177
490,177
491,177
492,177
493,177
494,177
495,177
496,176
497,176
498,176
499,176
500,176
501,176
502,176
503,177
504,177
505,177
506,177
507,178
508,178
509,178
510,178
511,178
512,178
513,179
514,179
515,179
516,179
517,179
518,179
519,180
520,180
521,180
522,180
523,181
524,181
525,181
526,181
527,181
528,182
529,182
530,182
531,182
532,182
533,182
534,182
535,182
536,182
537,182
538,182
539,182
540,182
541,182
542,182
543,182
544,182
545,182
546,182
547,183
548,183
549,183
550,183
551,183
552,183
553,183
554,183
555,183
556,183
557,183
558,183
559,183
560,183
561,183
562,183
563,184
564,184
565,184
566,184
567,184
568,185
569,185
570,185
571,186
572,186
573,186
574,186
575,186
576,186
577,186
578,186
579,186
580,186
581,186
582,186
583,186
