player,ciclo,cinta,tivre,yoyo,wing,game
1.0,174.0,185.0,183.0,178.0,169.0,205.0
2.0,194.0,200.0,200.0,196.0,178.0,210.0
3.0,167.0,175.0,184.0,179.0,149.0,193.0
4.0,173.0,183.0,185.0,184.0,153.0,192.0
5.0,181.0,196.0,203.0,200.0,175.0,206.0
6.0,190.0,200.0,203.0,198.0,178.0,207.0
7.0,173.0,185.0,191.0,181.0,153.0,200.0
8.0,173.0,180.0,192.0,184.0,152.0,201.0
9.0,186.0,192.0,196.0,189.0,164.0,203.0
10.0,185.0,191.0,194.0,188.0,178.0,205.0
