second,fc
1,98
2,99
3,101
4,103
5,104
6,105
7,105
8,106
9,107
10,109
11,111
12,113
13,115
14,116
15,117
16,118
17,119
18,120
19,121
20,122
21,122
22,123
23,123
24,123
25,124
26,124
27,123
28,122
29,122
30,121
31,121
32,121
33,121
34,122
35,123
36,124
37,125
38,126
39,127
40,127
41,126
42,125
43,123
44,123
45,122
46,123
47,123
48,124
49,125
50,126
51,127
52,127
53,128
54,128
55,128
56,127
57,126
58,126
59,126
60,126
61,126
62,127
63,128
64,129
65,129
66,130
67,131
68,131
69,131
70,132
71,131
72,132
73,132
74,132
75,132
76,132
77,133
78,133
79,133
80,132
81,131
82,131
83,130
84,129
85,129
86,129
87,130
88,131
89,131
90,130
91,129
92,129
93,128
94,127
95,126
96,126
97,127
98,127
99,127
100,125
101,124
102,123
103,122
104,122
105,122
106,123
107,124
108,125
109,126
110,126
111,127
112,127
113,128
114,129
115,130
116,130
117,131
118,131
119,131
120,132
121,132
122,133
123,133
124,134
125,134
126,134
127,135
128,135
129,135
130,136
131,136
132,136
133,136
134,136
135,137
136,137
137,137
138,138
139,138
140,138
141,138
142,138
143,138
144,139
145,139
146,139
147,139
148,139
149,140
150,140
151,140
152,140
153,140
154,141
155,141
156,141
157,142
158,142
159,142
160,142
161,143
162,143
163,143
164,143
165,143
166,143
167,144
168,144
169,144
170,144
171,144
172,144
173,145
174,145
175,145
176,145
177,145
178,145
179,145
180,146
181,146
182,146
183,146
184,146
185,147
186,147
187,147
188,148
189,148
190,148
191,148
192,148
193,148
194,149
195,149
196,149
197,150
198,150
199,150
200,150
201,150
202,151
203,151
204,151
205,151
206,151
207,152
208,152
209,152
210,152
211,153
212,153
213,153
214,153
215,153
216,153
217,154
218,154
219,154
220,154
221,154
222,155
223,155
224,155
225,155
226,155
227,156
228,156
229,156
230,156
231,156
232,157
233,157
234,157
235,157
236,158
237,158
238,158
239,158
240,158
241,159
242,159
243,159
244,159
245,159
246,159
247,160
248,160
249,160
250,160
251,160
252,160
253,161
254,161
255,161
256,161
257,161
258,161
259,162
260,162
261,162
262,162
263,162
264,162
265,162
266,163
267,163
268,163
269,163
270,163
271,163
272,163
273,163
274,164
275,164
276,164
277,164
278,164
279,164
280,163
281,163
282,163
283,163
284,163
285,164
286,164
287,164
288,164
289,165
290,165
291,165
292,165
293,165
294,165
