second,fc
1,102
2,104
3,105
4,106
5,108
6,109
7,110
8,112
9,113
10,114
11,115
12,116
13,117
14,118
15,118
16,118
17,119
18,120
19,121
20,121
21,122
22,123
23,124
24,125
25,125
26,123
27,125
28,123
29,124
30,124
31,127
32,127
33,127
34,128
35,129
36,130
37,131
38,131
39,132
40,133
41,133
42,134
43,135
44,136
45,137
46,137
47,138
48,139
49,140
50,141
51,142
52,143
53,143
54,144
55,144
56,144
57,144
58,144
59,144
60,145
61,145
62,146
63,146
64,146
65,147
66,147
67,147
68,148
69,148
70,148
71,149
72,149
73,150
74,150
75,151
76,151
77,152
78,152
79,153
80,153
81,150
82,152
83,154
84,154
85,155
86,154
87,154
88,154
89,154
90,157
91,157
92,157
93,158
94,158
95,158
96,159
97,159
98,160
99,161
100,162
101,162
102,163
103,163
104,164
105,164
106,165
107,165
108,164
109,163
110,163
111,162
112,162
113,161
114,160
115,159
116,159
117,158
118,157
119,157
120,157
121,157
122,157
123,157
124,157
125,157
126,157
127,158
128,158
129,159
130,159
131,159
132,158
133,158
134,158
135,158
136,158
137,158
138,158
139,160
140,160
141,160
142,161
143,160
144,160
145,160
146,160
147,160
148,160
149,160
150,160
151,160
152,160
153,160
154,160
155,160
156,160
157,160
158,160
159,160
160,160
161,160
162,159
163,159
164,160
165,160
166,160
167,161
168,161
169,161
170,162
171,162
172,162
173,163
174,163
175,163
176,163
177,164
178,163
179,164
180,164
181,164
182,164
183,164
184,164
185,164
186,164
187,164
188,164
189,164
190,164
191,164
192,164
193,163
194,163
195,163
196,163
197,163
198,163
199,163
200,163
201,165
202,165
203,165
204,164
205,165
206,165
207,165
208,165
209,166
210,166
211,166
212,166
213,167
214,166
215,166
216,166
217,166
218,166
219,166
220,166
221,166
222,165
223,165
224,165
225,165
226,165
227,165
228,165
229,166
230,166
231,166
232,166
233,166
234,166
235,167
236,167
237,167
238,166
239,166
240,167
241,167
242,167
243,167
244,167
245,168
246,168
247,168
248,168
249,168
250,168
251,168
252,168
253,168
254,168
255,168
256,167
257,167
258,167
259,166
260,167
261,167
262,167
263,167
264,167
265,167
266,167
267,167
268,167
269,167
270,167
271,167
272,167
273,167
274,167
275,167
276,167
277,167
278,167
279,167
280,167
281,168
282,168
283,168
284,168
285,168
286,168
287,169
288,169
289,169
290,169
291,169
292,170
293,169
294,169
295,169
296,169
297,169
298,170
299,170
300,170
301,170
302,170
303,170
304,169
305,170
306,169
307,170
308,170
309,170
310,170
