second,fc
1,81
2,81
3,82
4,82
5,82
6,84
7,86
8,88
9,90
10,92
11,94
12,96
13,98
14,99
15,99
16,99
17,100
18,100
19,101
20,101
21,101
22,102
23,103
24,103
25,103
26,106
27,108
28,109
29,111
30,113
31,115
32,116
33,117
34,119
35,120
36,120
37,121
38,122
39,122
40,122
41,122
42,122
43,123
44,123
45,123
46,123
47,124
48,125
49,124
50,124
51,124
52,124
53,124
54,125
55,125
56,125
57,126
58,127
59,127
60,127
61,127
62,128
63,128
64,128
65,129
66,130
67,130
68,130
69,130
70,131
71,132
72,132
73,134
74,135
75,136
76,136
77,137
78,137
79,137
80,137
81,137
82,137
83,138
84,138
85,138
86,138
87,138
88,138
89,138
90,139
91,139
92,139
93,138
94,139
95,139
96,140
97,140
98,140
99,141
100,142
101,142
102,142
103,142
104,145
105,145
106,145
107,145
108,145
109,145
110,146
111,145
112,145
113,145
114,145
115,145
116,144
117,145
118,145
119,145
120,145
121,145
122,146
123,146
124,146
125,147
126,147
127,148
128,148
129,148
130,148
131,148
132,149
133,149
134,149
135,149
136,149
137,149
138,149
139,149
140,150
141,150
142,150
143,150
144,151
145,152
146,152
147,151
148,151
149,151
150,151
151,150
152,150
153,150
154,149
155,149
156,149
157,149
158,149
159,149
160,150
161,150
162,151
163,151
164,151
165,152
166,152
167,153
168,153
169,153
170,153
171,153
172,154
173,154
174,154
175,154
176,154
177,151
178,152
179,152
180,152
181,152
182,153
183,153
184,153
185,153
186,153
187,153
188,153
189,154
190,154
191,154
192,154
193,154
194,154
195,153
196,153
197,153
198,153
199,153
200,153
201,153
202,153
203,153
204,153
205,154
206,154
207,154
208,154
209,154
210,154
211,154
212,154
213,153
214,153
215,153
216,152
217,152
218,152
219,152
220,154
221,155
222,155
223,156
224,156
225,157
226,157
227,157
228,157
229,157
230,157
231,157
232,157
233,156
234,156
235,154
236,154
237,153
238,153
239,153
240,154
241,154
242,155
243,156
244,156
245,156
246,156
247,157
248,157
249,157
250,156
251,156
252,155
253,155
254,154
255,153
256,153
257,153
258,153
259,153
260,153
261,154
262,155
263,155
264,156
265,156
266,156
267,157
268,157
269,158
270,157
271,158
272,158
273,158
274,158
275,157
276,157
277,158
278,158
279,158
280,158
281,158
282,158
283,159
284,159
285,159
286,159
287,159
288,159
289,159
290,159
291,159
292,160
293,160
294,159
295,159
296,159
297,158
298,159
299,159
300,159
301,159
302,159
303,159
304,160
305,160
306,160
307,160
308,161
309,161
310,161
311,161
312,161
313,161
314,161
315,160
316,160
317,159
318,159
319,160
320,161
321,161
322,161
323,162
324,162
325,162
326,162
327,162
328,162
329,162
330,162
331,161
332,161
333,161
334,160
335,160
336,159
337,159
338,159
339,159
340,159
341,160
342,160
343,160
344,160
345,161
346,161
347,161
348,161
349,161
350,161
351,162
352,162
353,162
354,162
355,162
356,162
357,161
358,162
359,162
360,162
361,162
362,162
363,163
364,163
365,163
366,163
367,164
368,164
369,164
370,164
371,164
372,164
373,164
374,164
375,164
376,163
377,163
378,163
379,163
380,162
381,162
382,162
383,162
384,162
385,163
386,163
387,163
388,163
389,163
390,163
391,163
392,164
393,164
394,164
395,164
396,164
397,164
398,164
399,164
400,165
401,165
402,165
403,165
404,165
405,165
406,166
407,166
408,166
409,166
410,166
411,166
412,165
413,165
414,165
415,164
416,163
417,162
418,162
419,162
420,162
421,162
422,162
423,162
424,162
425,162
426,163
427,163
428,163
429,164
430,164
431,164
432,165
433,165
434,162
435,163
436,163
437,164
438,164
439,165
440,165
441,166
442,166
443,167
444,167
445,167
446,168
447,168
448,168
449,168
450,168
451,167
452,168
453,167
454,167
455,167
456,167
457,167
458,167
459,168
460,168
461,168
462,168
463,168
464,169
465,169
466,169
467,169
468,169
469,169
470,170
471,170
472,170
473,170
474,170
475,170
476,170
477,170
478,170
479,170
480,170
481,172
482,172
483,171
484,171
485,171
486,171
487,171
488,171
489,171
490,171
491,171
492,171
493,170
494,170
495,170
496,170
497,170
498,170
499,170
500,170
501,170
502,170
503,170
504,170
505,171
506,171
507,170
508,170
509,170
510,171
511,171
512,170
513,170
514,170
515,170
516,170
517,170
518,169
519,170
520,170
521,170
522,170
523,170
524,170
525,170
526,170
527,170
528,170
529,171
530,171
531,171
532,170
533,170
534,170
535,170
536,170
537,170
538,170
539,169
540,170
541,170
542,170
543,170
544,170
545,170
546,170
547,170
548,170
549,170
550,171
551,171
552,171
553,171
554,170
555,171
556,171
557,171
558,171
559,171
560,171
561,171
562,171
563,172
564,172
565,172
566,172
567,172
568,172
569,172
570,172
571,171
572,171
573,171
574,171
575,171
576,170
577,170
578,170
579,170
580,170
581,170
582,170
583,170
584,170
585,170
586,170
587,170
588,170
589,170
590,170
591,170
592,170
593,170
594,170
595,170
596,170
597,170
598,171
599,171
600,171
601,171
602,172
603,172
604,172
605,172
606,172
607,172
608,171
609,171
610,171
611,170
612,170
613,170
614,170
615,170
616,170
617,170
618,170
619,170
620,171
621,171
622,171
623,171
624,171
625,171
626,171
627,171
628,171
629,171
630,171
631,171
632,171
633,171
634,172
635,172
636,172
637,172
638,172
639,172
640,172
641,172
642,172
643,172
644,172
645,172
646,172
647,172
648,172
649,172
650,172
651,171
652,171
653,171
654,172
655,172
656,172
657,172
658,172
659,173
660,173
661,173
662,173
663,173
664,173
665,173
666,173
667,173
668,173
669,173
670,173
671,173
672,173
673,173
674,173
675,173
676,173
677,173
678,173
679,174
680,174
681,174
682,174
683,174
684,174
685,174
686,174
687,174
688,174
689,175
690,175
691,174
692,174
693,174
694,174
695,175
696,174
697,174
698,174
699,175
700,175
701,175
702,175
703,174
704,175
705,175
706,175
707,175
708,175
709,173
710,173
711,173
712,173
713,173
714,173
715,173
716,173
717,173
718,174
719,174
720,174
721,174
722,174
723,174
724,174
725,174
726,174
727,174
728,174
729,174
730,174
731,174
732,174
733,174
734,174
735,174
736,175
737,175
738,175
739,175
740,175
741,175
742,175
743,176
744,175
745,175
746,175
747,175
748,175
749,175
750,175
751,175
752,175
753,175
754,175
755,175
756,175
757,175
758,175
759,174
760,174
761,172
762,173
763,173
764,173
765,173
766,173
767,174
768,174
769,174
770,174
771,175
772,175
773,175
774,175
775,175
776,175
777,175
778,175
779,175
780,176
781,176
782,176
783,176
784,175
785,175
786,175
787,175
788,175
789,175
790,175
791,175
792,175
793,175
794,175
795,175
796,175
797,175
798,177
799,177
800,178
801,178
