second,fc
1,129
2,130
3,131
4,132
5,132
6,132
7,132
8,132
9,132
10,133
11,134
12,134
13,135
14,136
15,137
16,138
17,139
18,141
19,142
20,143
21,144
22,146
23,146
24,148
25,148
26,149
27,150
28,151
29,152
30,152
31,152
32,152
33,153
34,153
35,153
36,154
37,154
38,154
39,154
40,155
41,155
42,155
43,156
44,157
45,157
46,158
47,159
48,159
49,159
50,160
51,160
52,160
53,160
54,160
55,160
56,160
57,160
58,160
59,160
60,160
61,160
62,161
63,161
64,162
65,163
66,163
67,164
68,164
69,165
70,165
71,164
72,164
73,164
74,164
75,163
76,163
77,163
78,163
79,162
80,162
81,162
82,162
83,162
84,162
85,162
86,162
87,162
88,162
89,162
90,162
91,162
92,162
93,163
94,163
95,163
96,163
97,164
98,164
99,164
100,165
101,165
102,165
103,165
104,165
105,164
106,164
107,164
108,164
109,163
110,163
111,162
112,162
113,162
114,162
115,162
116,162
117,162
118,162
119,163
120,163
121,164
122,164
123,163
124,163
125,163
126,162
127,162
128,162
129,162
130,162
131,162
132,162
133,162
134,161
135,161
136,161
137,161
138,162
139,162
140,162
141,161
142,160
143,159
144,158
145,157
146,155
147,155
148,154
149,154
150,152
151,151
152,150
153,150
154,150
155,151
156,151
157,151
158,151
159,151
160,152
161,151
162,151
163,152
164,152
165,152
166,152
167,152
168,153
169,153
170,153
171,153
172,154
173,154
174,155
175,156
176,156
177,157
178,158
179,157
180,158
181,158
182,158
183,158
184,158
185,158
186,159
187,159
188,160
189,160
190,161
191,161
192,162
193,162
194,163
195,164
196,164
197,165
198,166
199,166
200,166
201,166
202,166
203,166
204,166
205,165
206,165
207,165
208,165
209,165
210,165
211,165
212,166
213,166
214,166
215,166
216,165
217,165
218,165
219,165
220,164
221,164
222,165
223,165
224,165
225,166
226,166
227,167
228,167
229,168
230,168
231,168
232,168
233,168
234,168
235,167
236,166
237,166
238,165
239,165
240,165
241,165
242,165
243,165
244,165
245,166
246,166
247,166
248,166
249,166
250,166
251,166
252,166
253,166
254,166
255,166
256,166
257,166
258,165
259,165
260,166
261,165
262,166
263,166
264,167
265,167
266,167
267,168
268,168
269,168
270,168
271,168
272,168
273,167
274,166
275,166
276,166
277,167
