second,fc
1,57
2,58
3,61
4,63
5,64
6,66
7,66
8,68
9,69
10,71
11,71
12,72
13,73
14,75
15,76
16,76
17,78
18,79
19,81
20,82
21,82
22,83
23,83
24,84
25,85
26,86
27,87
28,88
29,88
30,87
31,87
32,86
33,86
34,86
35,88
36,88
37,90
38,91
39,91
40,91
41,89
42,89
43,89
44,89
45,89
46,88
47,88
48,88
49,89
50,89
51,89
52,90
53,90
54,90
55,91
56,91
57,91
58,91
59,92
60,92
61,93
62,94
63,94
64,94
65,94
66,93
67,93
68,92
69,92
70,90
71,90
72,90
73,90
74,89
75,90
76,90
77,90
78,90
79,90
80,91
81,91
82,91
83,91
84,91
85,91
86,91
87,92
88,92
89,92
90,92
91,93
92,93
93,93
94,94
95,93
96,93
97,93
98,92
99,92
100,92
101,92
102,92
103,92
104,92
105,92
106,92
107,92
108,92
109,93
110,93
111,93
112,94
113,93
114,93
115,92
116,92
117,92
118,92
119,94
120,96
121,97
122,97
123,97
124,97
125,97
126,97
127,96
128,97
129,97
130,98
131,99
132,100
133,101
134,101
135,101
136,101
137,101
138,100
139,100
140,100
141,101
142,101
143,101
144,102
145,104
146,106
147,106
148,105
149,103
150,103
151,102
152,101
153,101
154,101
155,102
156,103
157,103
158,104
159,105
160,105
161,104
162,104
163,103
164,103
165,103
166,102
167,102
168,103
169,103
170,103
171,103
172,103
173,103
174,104
175,104
176,105
177,106
178,107
179,108
180,109
181,111
182,112
183,112
184,112
185,112
186,112
187,112
188,112
189,113
190,113
191,113
192,113
193,113
194,112
195,112
196,112
197,112
198,112
199,113
200,113
201,113
202,113
203,113
204,113
205,112
206,113
207,113
208,113
209,114
210,115
211,115
212,116
213,116
214,117
215,118
216,118
217,118
218,119
219,119
220,120
221,121
222,122
223,122
224,122
225,121
226,121
227,121
228,120
229,120
230,120
231,120
232,120
233,119
234,119
235,119
236,119
237,119
238,120
239,121
240,122
241,122
242,122
243,122
244,123
245,123
246,123
247,124
248,124
249,124
250,125
251,125
252,125
253,126
254,126
255,126
256,127
257,128
258,129
259,129
260,129
261,130
262,131
263,133
264,133
265,133
266,133
267,133
268,133
269,133
270,133
271,133
272,134
273,134
274,134
275,135
276,136
277,137
278,137
279,138
280,139
281,139
282,140
283,141
284,141
285,141
286,141
287,141
288,141
289,140
290,139
291,137
292,137
293,136
294,135
295,135
296,135
297,135
298,135
299,134
300,134
301,134
302,134
303,134
304,135
305,135
306,135
307,135
308,135
309,135
310,135
311,136
312,136
313,136
314,136
315,136
316,137
317,138
318,138
319,138
320,139
321,140
322,141
323,142
324,142
325,142
326,142
327,143
328,142
329,142
330,142
331,142
332,142
333,142
334,141
335,141
336,141
337,140
338,140
339,140
340,140
341,140
342,141
343,141
344,141
345,141
346,142
347,142
348,142
349,142
350,141
351,140
352,140
353,140
354,140
355,140
356,140
357,141
358,141
359,142
360,142
361,143
362,144
363,144
364,144
365,144
366,144
367,144
368,144
369,144
370,144
371,144
372,145
373,145
374,146
375,146
376,148
377,148
378,149
379,149
380,150
381,150
382,150
383,150
384,149
385,149
386,150
387,150
388,150
389,150
390,151
391,151
392,152
393,153
394,153
395,154
396,154
397,155
398,155
399,155
400,155
401,155
402,156
403,156
404,156
405,157
406,157
407,157
408,157
409,157
410,157
411,157
412,157
413,158
414,158
415,158
416,158
417,158
418,158
419,159
420,159
421,159
422,159
423,159
424,159
425,159
426,160
427,159
428,159
429,159
430,159
431,159
432,159
433,158
434,158
435,159
436,159
437,159
438,159
439,160
440,160
441,161
442,161
443,162
444,162
445,163
446,163
447,164
448,164
449,164
450,164
451,165
452,165
453,165
454,166
455,166
456,167
457,167
458,167
459,167
460,167
461,167
462,168
463,168
464,168
465,168
466,168
467,168
468,168
469,167
470,167
471,167
472,167
473,167
474,166
475,166
476,166
477,166
478,166
479,166
480,166
481,166
482,166
483,166
484,166
485,166
486,166
487,167
488,167
489,167
490,167
491,168
492,168
493,168
494,169
495,169
496,169
497,169
498,169
499,169
500,170
501,170
502,170
503,170
504,170
505,170
506,170
507,170
508,170
509,170
510,170
511,170
512,170
513,170
514,170
515,170
516,170
517,170
518,171
519,171
520,171
521,171
522,172
523,172
524,172
525,172
526,172
527,173
528,173
529,173
530,173
531,173
532,173
533,174
534,174
535,174
536,174
537,173
538,173
539,173
540,173
541,174
542,174
543,174
544,174
545,174
546,173
547,173
548,174
549,174
550,174
551,174
552,175
553,175
554,176
555,176
556,176
557,176
558,176
559,176
560,176
561,176
562,176
563,176
564,176
565,176
566,176
567,176
568,176
569,176
570,176
571,176
572,176
573,177
574,177
575,177
576,177
577,177
578,177
579,177
580,177
581,178
582,178
583,178
584,178
585,178
586,178
587,178
588,178
589,178
590,178
591,178
592,178
593,178
594,178
595,178
596,178
597,176
598,176
599,177
600,177
601,178
602,178
603,178
604,179
605,179
606,179
607,179
608,179
609,179
610,179
611,179
612,180
613,180
614,180
615,180
616,180
617,180
618,180
619,180
620,180
621,178
622,178
623,179
624,179
625,179
626,179
627,179
628,181
629,181
630,181
631,181
632,181
633,181
634,181
635,181
636,181
637,181
638,181
639,181
640,181
641,182
642,182
643,182
644,182
645,182
646,182
647,182
648,181
649,181
650,181
651,181
652,181
653,181
654,181
655,181
656,181
657,181
658,181
659,181
660,179
661,179
662,179
663,180
664,180
665,180
666,181
667,181
668,178
669,179
670,180
671,180
672,178
673,179
674,182
675,182
676,182
677,182
678,182
679,182
680,182
681,182
682,183
683,184
684,184
685,184
686,184
687,184
688,184
689,185
690,185
691,185
692,185
693,185
694,185
695,185
696,185
697,185
698,185
699,185
700,185
701,185
702,185
703,185
704,185
705,185
706,185
707,185
708,185
709,185
710,185
