second,fc
1,129
2,129
3,130
4,130
5,130
6,130
7,131
8,132
9,133
10,134
11,134
12,134
13,134
14,135
15,135
16,136
17,136
18,137
19,138
20,138
21,138
22,138
23,138
24,138
25,137
26,137
27,136
28,136
29,136
30,135
31,135
32,135
33,134
34,133
35,132
36,131
37,131
38,130
39,130
40,130
41,130
42,130
43,129
44,129
45,129
46,129
47,129
48,130
49,130
50,130
51,130
52,130
53,131
54,132
55,132
56,133
57,133
58,133
59,133
60,133
61,134
62,134
63,134
64,134
65,134
66,134
67,134
68,134
69,134
70,134
71,134
72,134
73,134
74,134
75,134
76,134
77,134
78,135
79,136
80,136
81,137
82,137
83,137
84,137
85,138
86,138
87,138
88,139
89,139
90,140
91,140
92,140
93,140
94,140
95,139
96,139
97,138
98,138
99,138
100,138
101,138
102,138
103,139
104,139
105,140
106,140
107,141
108,142
109,142
110,142
111,142
112,143
113,143
114,142
115,142
116,142
117,142
118,143
119,143
120,143
121,143
122,143
123,143
124,143
125,143
126,143
127,143
128,142
129,142
130,142
131,143
132,143
133,143
134,143
135,144
136,144
137,145
138,145
139,145
140,146
141,146
142,147
143,147
144,147
145,147
146,147
147,147
148,148
149,148
150,148
151,148
152,149
153,149
154,149
155,149
156,149
157,149
158,149
159,149
160,148
161,148
162,147
163,147
164,147
165,147
166,147
167,147
168,148
169,148
170,148
171,148
172,148
173,149
174,149
175,149
176,149
177,150
178,150
179,150
180,150
181,151
182,151
183,151
184,151
185,152
186,152
187,152
188,152
189,152
190,153
191,153
192,153
193,153
194,153
195,153
196,153
197,153
198,153
199,152
200,152
201,152
202,153
203,153
204,153
205,153
206,154
207,154
208,154
209,154
210,154
211,155
212,155
213,155
214,155
215,155
216,154
217,155
218,154
219,155
220,155
221,155
222,155
223,155
224,155
225,155
226,155
227,155
228,155
229,156
230,156
231,156
232,156
233,157
234,157
235,158
236,158
237,158
238,159
239,159
240,159
241,159
242,159
243,159
244,159
245,159
246,159
247,159
248,159
249,159
250,159
251,159
252,159
253,158
254,158
255,158
256,158
257,158
258,158
259,158
260,158
261,158
262,159
263,159
264,160
265,160
266,160
267,161
268,161
269,161
270,161
271,162
272,162
273,162
274,162
275,162
276,162
277,162
278,162
279,162
280,162
281,162
282,162
283,162
284,162
285,162
286,163
287,163
288,163
289,163
290,163
291,164
292,164
293,164
294,164
295,164
296,164
297,164
298,164
299,163
300,163
301,163
302,163
303,164
304,164
305,164
306,164
307,164
308,164
309,164
310,164
311,165
312,165
313,165
314,165
315,165
316,165
317,165
318,166
319,166
320,166
321,166
322,166
323,166
324,167
325,167
326,167
327,167
328,167
329,167
330,167
331,167
332,167
333,167
334,167
335,168
336,168
337,168
338,168
339,168
340,168
341,168
342,168
343,168
344,168
345,168
346,169
347,169
348,169
349,169
350,169
351,169
352,169
353,170
354,170
355,170
356,170
357,170
358,170
359,171
360,171
361,171
362,171
363,171
364,171
365,171
366,171
367,171
368,171
369,172
370,171
371,171
372,171
373,171
374,171
375,171
376,171
377,171
378,172
379,172
380,172
381,172
382,173
383,173
384,173
385,174
386,174
387,174
388,175
389,175
390,175
391,175
392,176
393,176
394,176
395,176
396,176
397,175
398,176
399,175
400,175
401,175
402,175
403,175
404,175
405,175
406,176
407,176
408,176
409,176
410,176
411,176
412,177
413,177
414,177
415,177
416,178
417,178
418,178
419,179
420,179
421,179
422,179
423,179
424,180
425,180
426,180
427,180
428,180
429,180
430,180
431,180
432,180
433,180
434,180
435,180
436,180
437,180
438,180
439,180
440,180
441,180
442,180
443,180
444,180
445,180
446,180
447,180
448,180
449,180
450,180
451,180
452,180
453,180
454,181
455,181
456,181
457,181
458,181
459,181
460,181
461,181
462,181
463,181
464,181
465,181
466,181
467,181
468,181
469,182
470,182
471,182
472,181
473,181
474,181
475,181
476,181
477,182
478,182
479,182
480,182
481,182
482,182
483,182
484,182
485,182
486,182
487,183
488,183
489,183
490,183
491,183
492,182
493,182
494,183
495,183
496,183
497,183
498,183
499,183
500,184
501,184
502,184
503,184
504,185
505,185
506,185
507,185
508,185
509,185
510,185
511,185
512,185
513,185
514,185
515,185
516,185
517,186
518,186
519,186
520,186
521,186
522,186
523,186
524,186
525,186
526,187
527,187
528,187
529,187
530,187
531,187
532,187
533,187
534,187
535,187
536,187
537,187
538,187
539,187
540,187
541,187
542,187
543,187
544,187
545,187
546,187
547,187
548,187
549,187
550,187
551,187
552,188
553,188
554,188
555,188
556,188
557,188
558,189
559,189
560,189
561,189
562,189
563,189
564,190
565,190
566,190
