second,fc
1,68
2,67
3,68
4,68
5,68
6,69
7,69
8,69
9,69
10,69
11,69
12,69
13,69
14,70
15,71
16,72
17,73
18,74
19,75
20,76
21,77
22,78
23,81
24,82
25,84
26,85
27,86
28,87
29,89
30,89
31,89
32,90
33,90
34,91
35,91
36,92
37,92
38,94
39,95
40,96
41,97
42,98
43,98
44,99
45,99
46,99
47,98
48,98
49,98
50,99
51,99
52,98
53,99
54,99
55,99
56,99
57,99
58,99
59,99
60,99
61,99
62,100
63,99
64,99
65,99
66,99
67,99
68,100
69,100
70,100
71,100
72,100
73,99
74,99
75,99
76,99
77,99
78,99
79,100
80,100
81,100
82,100
83,100
84,100
85,99
86,98
87,98
88,97
89,97
90,95
91,95
92,95
93,95
94,95
95,95
96,95
97,96
98,96
99,96
100,95
101,94
102,94
103,93
104,94
105,94
106,94
107,94
108,95
109,97
110,97
111,99
112,100
113,101
114,101
115,100
116,100
117,100
118,101
119,101
120,102
121,102
122,103
123,102
124,102
125,101
126,101
127,102
128,102
129,102
130,102
131,102
132,103
133,104
134,104
135,105
136,106
137,107
138,107
139,108
140,109
141,110
142,110
143,112
144,112
145,113
146,114
147,114
148,114
149,114
150,114
151,114
152,115
153,115
154,116
155,117
156,118
157,118
158,119
159,119
160,120
161,120
162,121
163,121
164,122
165,122
166,122
167,123
168,123
169,123
170,124
171,124
172,124
173,125
174,125
175,125
176,126
177,127
178,128
179,128
180,129
181,129
182,130
183,129
184,130
185,129
186,129
187,129
188,130
189,131
190,131
191,132
192,133
193,134
194,134
195,135
196,135
197,136
198,136
199,137
200,137
201,138
202,138
203,139
204,139
205,140
206,140
207,141
208,141
209,142
210,142
211,142
212,142
213,142
214,142
215,142
216,142
217,142
218,142
219,143
220,143
221,144
222,144
223,144
224,144
225,144
226,144
227,144
228,143
229,143
230,143
231,143
232,143
233,143
234,143
235,143
236,143
237,144
238,144
239,144
240,144
241,144
242,144
243,143
244,144
245,144
246,144
247,144
248,144
249,144
250,143
251,143
252,142
253,141
254,141
255,141
256,141
257,142
258,142
259,143
260,144
261,145
262,146
263,146
264,147
265,147
266,147
267,148
268,147
269,147
270,147
271,147
272,147
273,147
274,147
275,148
276,148
277,148
278,148
279,148
280,149
281,149
282,149
283,150
284,150
285,150
286,151
287,151
288,151
289,151
290,151
291,150
292,150
293,149
294,149
295,149
296,149
297,150
298,150
299,150
300,150
301,150
302,149
303,149
304,150
305,150
306,150
307,150
308,151
309,151
310,151
311,151
312,152
313,153
314,153
315,154
316,154
317,155
318,156
319,156
320,157
321,157
322,157
323,157
324,157
325,157
326,158
327,158
328,158
329,158
330,158
331,158
332,158
333,159
334,158
335,158
336,158
337,157
338,157
339,157
340,157
341,157
342,157
343,157
344,156
345,156
346,155
347,155
348,156
349,155
350,155
351,155
352,154
353,154
354,154
355,154
356,154
357,154
358,155
359,155
360,154
361,155
362,154
363,154
364,154
365,155
366,155
367,155
368,155
369,156
370,156
371,156
372,157
373,157
374,157
375,158
376,159
377,159
378,159
379,160
380,160
381,160
382,161
383,161
384,162
385,162
386,162
387,163
388,163
389,164
390,164
391,164
392,164
393,164
394,164
395,165
396,165
397,165
398,165
399,165
400,165
401,165
402,165
403,164
404,164
405,164
406,165
407,165
408,165
409,165
410,165
411,165
412,165
413,166
414,166
415,166
416,165
417,165
418,165
419,166
420,165
421,165
422,165
423,165
424,165
425,165
426,165
427,165
428,165
429,165
430,165
431,165
432,165
433,165
434,166
435,166
436,166
437,166
438,166
439,167
440,167
441,167
442,167
443,167
444,168
445,167
446,167
447,167
448,167
449,167
450,167
451,167
452,168
453,168
454,168
455,168
456,168
457,168
458,169
459,169
460,169
461,169
462,169
463,170
464,170
465,170
466,171
467,171
468,172
469,172
470,172
471,172
472,172
473,173
474,173
475,173
476,173
477,173
478,172
479,172
480,172
481,172
482,172
483,172
484,172
485,172
486,172
487,172
488,172
489,172
490,172
491,172
492,172
493,172
494,172
495,172
496,171
497,171
498,172
499,172
500,172
501,172
502,172
503,172
504,173
505,173
506,174
507,174
508,174
509,175
510,175
511,175
512,176
513,176
514,176
515,176
516,176
517,176
518,176
519,176
520,176
521,176
522,176
523,176
524,176
525,177
526,177
527,177
528,177
529,177
530,176
531,176
532,177
533,177
534,177
535,177
536,177
537,177
538,177
539,177
540,178
541,177
542,177
543,177
544,177
545,178
546,178
547,178
548,178
549,178
550,178
551,178
552,178
553,178
554,178
555,178
556,178
557,178
558,178
559,179
560,179
561,179
562,178
563,179
564,179
565,179
566,179
567,179
568,180
569,180
570,180
571,180
572,180
573,180
574,180
575,180
576,180
577,180
578,180
579,180
580,180
581,180
582,180
583,180
584,180
585,180
586,180
587,180
588,180
589,180
590,179
591,179
592,179
593,179
594,179
595,180
596,180
597,180
598,180
599,180
600,180
601,180
602,180
603,180
604,180
605,180
606,180
607,181
608,181
609,181
610,181
611,180
612,180
613,180
614,181
615,181
616,181
617,181
618,181
619,181
620,181
621,182
622,182
623,182
624,182
625,182
626,182
627,182
628,182
629,182
630,182
631,182
632,182
633,182
634,183
635,183
636,183
637,183
638,183
639,183
640,183
641,183
642,183
643,184
644,183
645,184
646,184
647,184
648,184
649,184
650,185
651,185
652,185
653,185
654,185
655,185
656,185
657,185
658,185
659,185
660,185
661,185
662,185
663,186
664,186
665,186
666,186
667,186
668,186
669,186
670,186
671,186
672,186
673,186
674,186
675,186
676,186
677,186
678,186
679,186
680,186
681,186
682,186
683,186
684,187
685,187
686,187
687,187
688,187
689,187
690,187
691,187
692,187
693,188
694,187
695,187
696,188
697,188
698,188
699,188
700,188
701,189
702,189
703,189
704,188
705,189
706,189
707,189
708,189
