second,fc
1,70
2,69
3,69
4,69
5,69
6,68
7,68
8,67
9,66
10,67
11,67
12,67
13,67
14,67
15,67
16,67
17,67
18,66
19,65
20,65
21,66
22,66
23,66
24,66
25,66
26,67
27,68
28,70
29,71
30,71
31,71
32,70
33,69
34,68
35,67
36,66
37,66
38,66
39,67
40,67
41,68
42,69
43,69
44,68
45,68
46,68
47,67
48,67
49,66
50,66
51,66
52,68
53,69
54,71
55,74
56,77
57,80
58,82
59,84
60,85
61,86
62,87
63,87
64,87
65,88
66,88
67,89
68,90
69,91
70,92
71,92
72,90
73,90
74,90
75,90
76,90
77,90
78,89
79,90
80,90
81,91
82,91
83,91
84,90
85,87
86,87
87,88
88,88
89,88
90,87
91,87
92,88
93,88
94,88
95,88
96,87
97,87
98,86
99,86
100,85
101,85
102,85
103,85
104,84
105,83
106,84
107,85
108,86
109,87
110,89
111,89
112,89
113,88
114,88
115,87
116,87
117,86
118,86
119,85
120,85
121,87
122,88
123,88
124,88
125,88
126,87
127,86
128,85
129,85
130,85
131,85
132,84
133,86
134,86
135,87
136,88
137,88
138,88
139,87
140,87
141,86
142,87
143,86
144,87
145,87
146,88
147,88
148,87
149,87
150,86
151,86
152,86
153,86
154,87
155,86
156,86
157,86
158,87
159,88
160,89
161,89
162,88
163,89
164,88
165,89
166,90
167,90
168,90
169,90
170,91
171,93
172,95
173,97
174,100
175,101
176,101
177,102
178,103
179,104
180,105
181,105
182,106
183,107
184,108
185,109
186,109
187,109
188,109
189,109
190,109
191,109
192,109
193,108
194,109
195,108
196,108
197,108
198,108
199,109
200,109
201,109
202,109
203,109
204,109
205,108
206,108
207,108
208,108
209,108
210,108
211,107
212,108
213,108
214,108
215,107
216,107
217,108
218,108
219,108
220,109
221,109
222,109
223,111
224,111
225,111
226,111
227,111
228,111
229,112
230,112
231,112
232,113
233,113
234,113
235,114
236,115
237,116
238,117
239,118
240,119
241,120
242,121
243,121
244,121
245,121
246,121
247,121
248,121
249,121
250,120
251,120
252,119
253,119
254,118
255,117
256,117
257,117
258,116
259,117
260,117
261,117
262,118
263,118
264,119
265,119
