second,fc
1,102
2,101
3,102
4,100
5,97
6,96
7,95
8,95
9,95
10,96
11,97
12,98
13,100
14,102
15,104
16,105
17,106
18,108
19,109
20,110
21,111
22,112
23,113
24,114
25,115
26,115
27,116
28,117
29,118
30,118
31,119
32,119
33,120
34,120
35,120
36,122
37,122
38,123
39,123
40,124
41,124
42,124
43,125
44,125
45,125
46,125
47,125
48,126
49,125
50,125
51,125
52,124
53,125
54,124
55,124
56,124
57,124
58,124
59,125
60,125
61,125
62,125
63,125
64,125
65,125
66,125
67,125
68,125
69,124
70,124
71,125
72,125
73,125
74,126
75,127
76,127
77,127
78,127
79,127
80,128
81,128
82,127
83,127
84,128
85,128
86,127
87,128
88,127
89,127
90,127
91,127
92,127
93,127
94,127
95,127
96,127
97,127
98,127
99,128
100,128
101,128
102,128
103,127
104,126
105,126
106,126
107,125
108,125
109,125
110,125
111,125
112,124
113,125
114,125
115,124
116,125
117,124
118,125
119,125
120,125
121,125
122,126
123,126
124,127
125,127
126,128
127,128
128,128
129,129
130,129
131,129
132,129
133,129
134,129
135,129
136,128
137,128
138,128
139,127
140,127
141,126
142,125
143,124
144,123
145,123
146,122
147,122
148,121
149,121
150,120
151,119
152,118
153,117
154,116
155,116
156,116
157,115
158,115
159,112
160,110
161,109
162,109
163,108
164,108
165,108
166,108
167,108
168,108
169,110
170,111
171,113
172,115
173,116
174,118
175,119
176,119
177,121
178,123
179,124
180,125
181,126
182,127
183,127
184,127
185,129
186,129
187,129
188,130
189,130
190,130
191,130
192,130
193,130
194,130
195,130
196,131
197,130
198,130
199,130
200,129
201,129
202,129
203,129
204,128
205,127
206,127
207,127
208,128
209,128
210,128
211,130
212,131
213,131
214,132
215,132
216,132
217,132
218,132
219,132
220,132
221,131
222,130
223,130
224,130
225,130
226,130
227,130
228,131
229,131
230,131
231,131
232,131
233,132
234,132
235,132
236,132
237,133
238,133
239,133
240,133
241,133
242,133
243,133
244,133
245,133
246,133
247,133
248,133
249,134
250,134
251,134
252,134
253,135
254,135
255,135
256,135
257,135
258,135
259,134
260,134
261,134
262,134
263,134
264,134
265,134
266,134
267,135
268,136
269,135
270,135
271,136
272,136
273,135
274,135
275,135
276,135
277,134
278,134
279,134
280,133
281,133
282,132
283,132
284,133
285,132
286,132
287,131
288,130
289,129
290,129
291,127
292,126
293,125
294,125
295,125
296,125
297,124
298,123
299,122
300,121
301,120
302,117
303,116
304,115
305,116
306,116
307,116
308,117
309,117
310,118
311,118
