second,fc
1,86
2,85
3,84
4,83
5,84
6,86
7,88
8,90
9,92
10,95
11,98
12,100
13,102
14,104
15,105
16,107
17,109
18,111
19,114
20,116
21,118
22,120
23,123
24,125
25,126
26,128
27,131
28,133
29,135
30,137
31,139
32,142
33,143
34,145
35,146
36,147
37,148
38,149
39,150
40,151
41,152
42,152
43,153
44,153
45,153
46,154
47,154
48,154
49,155
50,155
51,155
52,155
53,156
54,156
55,156
56,157
57,157
58,158
59,158
60,159
61,159
62,159
63,160
64,160
65,160
66,160
67,160
68,161
69,161
70,161
71,161
72,161
73,160
74,160
75,160
76,160
77,160
78,160
79,159
80,160
81,160
82,159
83,159
84,160
85,159
86,159
87,158
88,158
89,157
90,156
91,155
92,155
93,154
94,154
95,154
96,155
97,155
98,156
99,156
100,157
101,157
102,157
103,158
104,159
105,159
106,159
107,159
108,159
109,159
110,158
111,158
112,158
113,158
114,158
115,159
116,159
117,159
118,159
119,160
120,160
121,160
122,161
123,161
124,160
125,160
126,159
127,159
128,158
129,157
130,157
131,157
132,156
133,156
134,155
135,155
136,154
137,154
138,153
139,153
140,152
141,151
142,150
143,150
144,150
145,150
146,149
147,148
148,148
149,147
150,146
151,146
152,145
153,144
154,143
155,142
156,140
157,139
158,139
159,139
160,139
161,139
162,140
163,140
164,140
165,139
166,138
167,138
168,137
169,137
170,138
171,139
172,141
173,142
174,143
175,144
176,144
177,144
178,144
179,144
180,143
181,143
182,143
183,143
184,144
185,144
186,145
187,146
188,146
189,147
190,148
191,149
192,151
193,152
194,153
195,154
196,155
197,156
198,156
199,157
200,156
201,157
202,157
203,157
204,156
205,156
206,157
207,157
208,157
209,158
210,159
211,159
212,159
213,160
214,160
215,160
216,160
217,160
218,161
219,161
220,161
221,161
222,161
223,161
224,161
225,161
226,162
227,162
228,162
229,163
230,163
231,164
232,164
233,164
234,164
235,164
236,164
237,164
238,164
239,164
240,164
241,164
242,164
243,164
244,164
245,164
246,164
247,164
248,164
249,164
250,165
251,165
252,165
253,165
254,166
255,166
256,166
257,165
258,165
259,165
260,165
261,165
262,165
263,165
264,165
265,165
266,165
267,165
268,165
269,166
270,166
271,166
272,166
273,166
274,167
275,167
276,167
277,167
278,167
279,167
280,167
281,166
282,165
283,165
284,165
285,164
286,164
287,164
288,164
289,163
290,163
291,163
292,163
293,162
294,162
295,161
296,161
297,160
298,159
299,157
300,156
301,155
302,154
303,153
304,153
305,152
306,151
307,151
308,151
309,150
310,148
311,145
312,143
313,142
314,140
315,138
316,136
317,134
318,132
319,132
320,132
321,132
322,133
323,134
324,135
325,136
326,138
327,139
328,141
329,143
330,145
331,146
332,147
333,147
334,148
335,148
336,148
337,148
338,148
339,148
340,148
341,147
342,147
343,148
344,149
345,150
346,151
347,152
348,154
349,155
350,156
351,157
352,158
353,159
354,160
355,161
356,161
357,162
358,162
359,163
360,163
361,163
362,164
363,164
364,165
365,165
366,166
367,167
368,168
369,168
370,169
371,169
372,169
373,169
374,169
375,169
376,169
377,169
378,169
379,168
380,168
381,168
382,168
383,169
384,169
385,169
386,169
387,170
388,170
389,170
390,171
391,171
392,171
393,171
394,171
395,171
396,171
397,171
398,171
399,172
400,172
401,172
402,172
403,173
404,173
405,173
406,174
407,174
408,174
409,174
410,174
411,174
412,174
413,174
414,175
415,175
416,175
417,175
418,175
419,175
420,175
421,175
422,175
423,175
424,175
425,174
426,173
427,173
428,172
429,172
430,171
431,170
432,169
433,169
434,168
435,169
436,169
437,169
438,169
439,169
440,169
441,169
442,169
443,169
444,168
445,168
446,166
447,165
448,162
449,159
450,157
451,154
452,153
453,152
454,152
455,151
456,151
457,151
458,150
459,150
460,150
461,151
462,151
463,152
464,153
465,154
466,156
467,157
468,158
469,159
470,159
471,160
472,161
473,161
474,161
475,161
476,162
477,162
478,162
479,163
480,163
481,163
482,164
483,164
484,164
485,164
486,165
487,165
488,166
489,166
490,166
491,167
492,168
493,168
494,169
495,170
496,170
497,170
498,171
499,172
500,172
501,173
502,173
503,174
504,174
505,174
506,175
507,175
508,175
509,175
510,175
511,175
512,174
513,174
514,174
515,174
516,174
517,174
518,174
519,174
520,174
521,175
522,175
523,176
524,176
525,176
526,177
527,177
528,177
529,177
530,177
531,176
532,176
533,176
534,176
535,176
536,175
537,175
538,175
539,175
540,175
541,176
542,176
543,176
544,176
545,176
546,176
547,176
548,177
549,177
550,177
551,177
552,177
553,177
554,177
555,177
556,177
557,177
558,177
559,177
560,176
561,176
562,176
563,176
564,176
565,175
566,173
567,174
568,174
569,174
570,174
571,174
572,174
573,173
574,173
575,173
576,172
577,172
578,171
579,170
580,169
581,169
582,167
583,165
584,165
585,162
586,160
587,159
588,156
589,156
590,155
591,155
592,155
593,155
594,156
595,156
596,156
597,157
598,157
599,157
600,157
601,157
602,157
603,157
604,157
605,157
606,158
607,158
608,159
609,160
610,160
611,161
612,161
613,163
614,163
615,164
616,165
617,166
618,167
619,168
620,169
621,169
622,170
623,171
624,171
625,172
626,172
627,173
628,174
629,174
630,175
631,175
632,176
633,177
634,177
635,178
636,178
637,179
638,179
639,180
640,180
641,180
642,180
643,181
644,181
645,181
646,182
647,182
648,182
649,183
650,183
651,183
652,183
653,184
654,184
655,184
656,184
657,184
658,184
659,184
660,183
661,183
662,183
663,183
664,183
665,183
666,183
667,184
668,184
669,184
670,184
671,185
672,184
673,185
674,185
675,184
676,184
677,184
678,183
679,183
680,182
681,182
682,182
683,182
684,181
685,181
686,180
687,180
688,179
689,179
690,179
691,179
692,178
693,178
694,178
695,177
696,176
697,176
698,175
699,174
700,173
701,173
702,172
703,171
704,171
705,170
706,168
707,165
708,162
709,161
710,159
711,159
712,159
713,159
714,159
715,160
716,160
717,161
718,161
719,162
720,162
721,163
722,163
723,164
724,165
725,165
726,166
727,167
728,167
729,168
730,169
731,170
732,170
733,171
734,171
735,172
736,172
737,173
738,174
739,174
740,175
741,176
742,176
743,177
744,177
745,178
746,178
747,179
748,179
749,180
750,180
751,180
752,181
753,181
754,181
755,182
756,182
757,182
758,183
759,183
760,184
761,184
762,184
763,185
764,185
765,185
766,185
767,186
768,186
769,186
770,186
771,187
772,186
773,187
774,187
775,187
776,187
777,188
778,188
779,188
780,188
781,188
782,188
783,188
784,188
785,188
786,188
787,188
788,188
789,188
790,188
791,188
792,188
793,188
794,188
795,188
796,189
797,188
798,188
799,188
800,187
801,186
802,186
803,185
804,185
805,185
806,184
807,183
808,183
809,183
810,182
811,182
812,182
813,182
814,181
815,181
816,181
817,181
818,181
819,181
820,180
821,180
822,179
823,178
824,178
825,177
826,176
827,176
828,175
829,174
830,173
831,171
832,169
833,167
834,164
835,162
836,161
837,161
838,161
839,161
840,162
841,163
842,163
843,164
844,165
845,167
846,168
847,169
848,171
849,172
850,172
851,173
852,174
853,175
854,175
855,176
856,176
857,177
858,178
859,178
860,179
861,179
862,180
863,181
864,181
865,182
866,182
867,183
868,183
869,184
870,184
871,184
872,185
873,186
874,186
875,187
876,187
877,187
878,187
879,187
880,187
881,187
882,187
883,187
884,187
885,187
886,187
887,187
888,187
889,187
890,186
891,186
892,186
893,186
894,186
895,185
896,185
897,185
898,185
899,185
900,185
901,185
902,185
903,186
904,186
905,186
906,186
907,186
908,187
909,187
910,187
911,187
912,187
913,187
914,186
915,186
916,186
917,186
918,186
919,186
920,186
921,185
922,185
923,185
924,184
925,184
926,183
927,183
928,183
929,182
930,181
931,181
932,180
933,180
934,179
935,179
936,178
937,178
938,177
939,176
940,175
941,175
942,174
943,174
944,173
945,172
946,171
947,171
948,171
949,171
950,170
951,169
952,167
953,165
954,162
955,161
956,160
957,159
958,159
959,159
960,160
961,160
962,161
963,162
964,163
965,164
966,165
967,166
968,167
969,168
970,169
971,170
972,170
973,171
974,172
975,174
976,174
977,175
978,176
979,177
980,178
981,179
982,180
983,181
984,182
985,183
986,183
987,184
988,185
989,185
990,186
991,186
992,187
993,187
994,187
995,188
996,188
997,188
998,188
999,188
1000,189
1001,189
1002,189
1003,189
1004,190
1005,190
1006,190
1007,190
1008,190
1009,190
1010,190
1011,191
1012,191
1013,192
1014,192
1015,192
1016,192
1017,192
1018,193
1019,193
1020,193
1021,193
1022,193
1023,193
1024,193
1025,193
1026,193
1027,193
1028,194
1029,194
1030,194
1031,194
1032,194
1033,194
1034,194
1035,193
1036,193
1037,192
1038,192
1039,191
1040,191
1041,190
1042,189
1043,188
1044,188
1045,187
1046,187
1047,186
1048,186
1049,185
1050,185
1051,184
1052,183
1053,181
1054,180
1055,179
1056,178
1057,178
1058,178
1059,178
1060,178
1061,178
1062,178
1063,178
1064,178
1065,177
1066,177
1067,177
1068,176
1069,176
1070,175
1071,175
1072,176
1073,176
1074,176
1075,177
1076,177
1077,178
1078,179
1079,180
1080,180
1081,181
1082,182
1083,182
1084,183
1085,184
1086,185
1087,185
1088,186
1089,187
1090,187
1091,188
1092,188
1093,189
1094,189
1095,190
1096,190
1097,190
1098,190
1099,191
1100,191
1101,191
1102,191
1103,192
1104,192
1105,192
1106,192
1107,192
1108,192
1109,193
1110,193
1111,193
1112,193
1113,193
1114,193
1115,194
1116,194
1117,194
1118,194
1119,194
1120,195
1121,195
