second,fc
1,64
2,65
3,65
4,65
5,65
6,65
7,65
8,67
9,68
10,69
11,69
12,68
13,66
14,65
15,64
16,64
17,66
18,68
19,70
20,72
21,75
22,77
23,77
24,77
25,78
26,79
27,80
28,81
29,81
30,84
31,84
32,85
33,85
34,86
35,87
36,87
37,87
38,87
39,88
40,89
41,89
42,91
43,91
44,92
45,92
46,91
47,90
48,90
49,90
50,90
51,90
52,87
53,87
54,87
55,88
56,88
57,88
58,88
59,89
60,89
61,89
62,90
63,90
64,89
65,89
66,89
67,88
68,88
69,88
70,88
71,88
72,88
73,89
74,89
75,87
76,87
77,86
78,85
79,84
80,85
81,86
82,86
83,86
84,86
85,86
86,86
87,87
88,86
89,86
90,84
91,83
92,82
93,82
94,83
95,84
96,84
97,84
98,85
99,83
100,83
101,80
102,78
103,78
104,77
105,77
106,78
107,78
108,78
109,78
110,78
111,77
112,77
113,77
114,77
115,77
116,78
117,78
118,78
119,79
120,79
121,79
122,79
123,80
124,80
125,81
126,81
127,83
128,82
129,81
130,81
131,79
132,79
133,79
134,82
135,82
136,85
137,85
138,87
139,88
140,88
141,88
142,89
143,89
144,90
145,91
146,91
147,93
148,93
149,94
150,96
151,96
152,97
153,97
154,97
155,97
156,97
157,96
158,96
159,98
160,99
161,100
162,102
163,102
164,103
165,104
166,104
167,104
168,104
169,104
170,104
171,104
172,104
173,104
174,104
175,106
176,106
177,106
178,106
179,106
180,106
181,106
182,105
183,105
184,105
185,105
186,105
187,105
188,105
189,105
190,105
191,105
192,104
193,103
194,102
195,102
196,102
197,102
198,103
199,103
200,103
201,103
202,104
203,104
204,104
205,104
206,104
207,104
208,105
209,105
210,105
211,105
212,105
213,105
214,105
215,106
216,106
217,106
218,106
219,107
220,107
221,107
222,107
223,107
224,108
225,108
226,108
227,109
228,109
229,109
230,109
231,110
232,110
233,111
234,112
235,112
236,112
237,112
238,111
239,110
240,110
241,110
242,111
243,111
244,111
245,111
246,111
247,111
248,111
249,111
250,111
251,111
252,111
253,112
254,113
255,114
256,114
257,115
258,115
259,115
260,115
261,116
262,116
263,117
264,117
265,118
266,118
267,118
268,119
269,118
270,118
271,118
272,117
273,116
274,116
275,115
276,115
277,115
278,115
279,115
280,115
281,114
282,114
283,113
284,113
285,113
286,113
287,113
288,113
289,113
290,113
291,114
292,114
293,115
294,115
295,115
296,115
297,115
298,116
299,116
300,116
301,116
302,116
303,117
304,117
305,117
306,117
307,117
308,117
309,117
310,117
311,117
312,117
313,117
314,117
315,117
316,117
317,117
318,117
319,117
320,117
321,118
322,118
323,120
324,120
325,120
326,120
327,120
328,119
329,119
330,118
331,118
332,118
333,118
334,118
335,118
336,118
337,119
338,119
339,119
340,119
341,119
342,120
343,120
344,120
345,120
346,121
347,121
348,122
349,123
350,123
351,124
352,124
353,124
354,124
355,125
356,125
357,125
358,125
359,125
360,125
361,125
362,125
363,125
364,125
365,125
366,126
367,126
368,126
369,126
370,126
371,125
372,125
373,125
374,125
375,125
376,125
377,126
378,126
379,127
380,127
381,127
382,127
383,126
384,126
385,126
386,125
387,125
388,126
389,126
390,127
391,127
392,127
393,127
394,126
395,126
396,126
397,126
398,126
399,126
400,127
401,127
402,127
403,127
404,127
405,127
406,127
407,127
408,126
409,126
410,126
411,126
412,126
413,127
414,127
415,127
416,127
417,127
418,126
419,126
420,126
421,126
422,127
423,127
424,127
425,128
426,128
427,128
428,128
429,128
430,128
431,128
432,128
433,128
434,128
435,128
436,129
437,129
438,128
439,128
440,128
441,128
442,128
443,128
444,128
445,129
446,129
447,130
448,130
449,131
450,131
451,132
452,132
453,133
454,134
455,134
456,134
457,134
458,134
459,134
460,134
461,134
462,134
463,134
464,134
465,134
466,134
467,134
468,134
469,134
470,134
471,133
472,132
473,132
474,131
475,131
476,131
477,131
478,131
479,132
480,132
481,133
482,133
483,133
484,133
485,132
486,132
487,132
488,132
489,132
490,132
491,133
492,133
493,134
494,135
495,135
496,137
497,137
498,138
499,138
500,140
501,140
502,141
503,142
504,142
505,142
506,142
507,143
508,143
509,143
510,143
511,143
512,143
513,144
514,144
515,144
516,144
517,143
518,143
519,143
520,142
521,142
522,143
523,143
524,143
525,143
526,143
527,143
528,143
529,144
530,144
531,144
532,145
533,145
534,146
535,146
536,146
537,146
538,146
539,146
540,147
541,147
542,147
543,147
544,147
545,147
546,147
547,146
548,146
549,146
550,145
551,145
552,145
553,145
554,145
555,146
556,146
557,147
558,147
559,147
560,148
561,148
562,148
