game,second,livetime,ingame,quarter,atdef,pospoints,negpoints,difference
1,1,1,BLJ,1Q,DEF,0,0,0
1,2,2,BLJ,1Q,DEF,0,0,0
1,3,3,BLJ,1Q,DEF,0,0,0
1,4,4,BLJ,1Q,DEF,0,0,0
1,5,5,BLJ,1Q,DEF,0,0,0
1,6,6,BLJ,1Q,DEF,0,0,0
1,7,7,BLJ,1Q,DEF,0,0,0
1,8,8,BLJ,1Q,DEF,0,0,0
1,9,9,BLJ,1Q,DEF,0,0,0
1,10,10,BLJ,1Q,DEF,0,0,0
1,11,11,BLJ,1Q,DEF,0,0,0
1,12,12,BLJ,1Q,DEF,0,0,0
1,13,13,BLJ,1Q,AT,0,0,0
1,14,14,BLJ,1Q,AT,0,0,0
1,15,15,BLJ,1Q,AT,0,0,0
1,16,16,BLJ,1Q,AT,0,0,0
1,17,17,BLJ,1Q,AT,0,0,0
1,18,18,BLJ,1Q,DEF,0,0,0
1,19,19,BLJ,1Q,DEF,0,0,0
1,20,20,BLJ,1Q,AT,0,0,0
1,21,21,BLJ,1Q,AT,0,0,0
1,22,22,BLJ,1Q,AT,0,0,0
1,23,23,BLJ,1Q,AT,0,0,0
1,24,24,BLJ,1Q,AT,0,0,0
1,25,25,BLJ,1Q,AT,0,0,0
1,26,26,BLJ,1Q,AT,0,0,0
1,27,27,BLJ,1Q,AT,0,0,0
1,28,28,BLJ,1Q,AT,0,0,0
1,29,29,BLJ,1Q,DEF,0,0,0
1,30,30,BLJ,1Q,DEF,0,0,0
1,31,31,BLJ,1Q,DEF,0,0,0
1,32,32,BLJ,1Q,DEF,0,0,0
1,33,33,BLJ,1Q,DEF,0,0,0
1,34,34,BLJ,1Q,DEF,0,0,0
1,35,35,BLJ,1Q,DEF,0,0,0
1,36,36,BLJ,1Q,DEF,0,0,0
1,37,37,BLJ,1Q,DEF,0,0,0
1,38,38,BLJ,1Q,DEF,0,0,0
1,39,39,BLJ,1Q,DEF,0,0,0
1,40,40,BLJ,1Q,DEF,0,0,0
1,41,41,BLJ,1Q,DEF,0,0,0
1,42,42,BLJ,1Q,DEF,0,0,0
1,43,43,BLJ,1Q,DEF,0,0,0
1,44,44,BLJ,1Q,DEF,0,0,0
1,45,45,BLJ,1Q,DEF,0,0,0
1,46,46,BLJ,1Q,AT,0,0,0
1,47,47,BLJ,1Q,AT,0,0,0
1,48,48,BLJ,1Q,AT,0,0,0
1,49,49,BLJ,1Q,AT,0,0,0
1,50,50,BLJ,1Q,AT,0,0,0
1,51,51,BLJ,1Q,AT,0,0,0
1,52,52,BLJ,1Q,AT,0,0,0
1,53,53,BLJ,1Q,AT,0,0,0
1,54,,JP,1Q,,0,0,0
1,55,,JP,1Q,,0,0,0
1,56,,JP,1Q,,0,0,0
1,57,,JP,1Q,,0,0,0
1,58,,JP,1Q,,0,0,0
1,59,,JP,1Q,,0,0,0
1,60,,JP,1Q,,0,0,0
1,61,,JP,1Q,,0,0,0
1,62,,JP,1Q,,0,0,0
1,63,,JP,1Q,,0,0,0
1,64,54,BLJ,1Q,DEF,0,0,0
1,65,55,BLJ,1Q,DEF,0,0,0
1,66,56,BLJ,1Q,DEF,0,0,0
